account_id,total_funding_fee,mean_funding_fee,std_funding_fee,funding_count,min_funding_fee,max_funding_fee,mean_fee_rate,std_fee_rate
A_7e27164ab6,45324.856859479565,20.33416637930891,45.52523437316002,2229,-80.37508475668393,324.35685812845287,7.81319544762065e-05,6.256378725666625e-05
A_0e72128b0d,15067.479016771336,12.411432468510162,141.5651347646703,1214,-1522.9025625456952,1928.0996755112585,-0.0006427557301424711,0.0027196827032335484
A_ae270b7bf6,3019.112234414393,0.5328471998613471,5.068580390141789,5666,-13.389204708413798,206.1612072,1.8079701078250864e-05,0.0005164124313155833
A_0bfb0b4311,2721.490922008698,1.0387369931330908,1.644597604387578,2620,-7.428085650388104,10.4709976315,8.136402558386225e-05,6.600010469067726e-05
A_26ffea8fd9,2369.5210136163073,1.1446961418436268,17.98565070892558,2070,-576.1193802,39.20658678825908,2.6120718945094406e-06,0.0005860329320461142
A_33849d660b,1923.8686283500533,1.140408197006552,2.256234682774341,1687,-9.522188659537077,51.239415986458575,3.62602072449483e-05,0.000749865251548359
A_f2ab53d645,1843.0179035617314,3.5996443428940066,45.735528504524574,512,-364.41906649845714,209.1153913963115,-0.0012086338244261582,0.0036899463788417457
A_c462ca9c6b,1711.2078008214492,1.194977514540118,2.9551579897543507,1432,-10.133913078993375,15.293378076,6.865217463973371e-05,5.9391079064900624e-05
A_89cf7b96c2,1413.0440911744838,2.093398653591828,1.328930568741186,675,0.0183590638576738,6.085317821250332,0.00015713766089403127,4.115865763714227e-05
A_1f97e16953,980.2332070486788,57.6607768852164,162.072595152957,17,-46.63898162653962,639.3731518475106,-0.003620676936867829,0.004099676724252283
A_8413984c30,450.8346810033523,40.98497100030475,127.80054608541973,11,-106.5732075789527,342.69588139360405,1.282803198553637e-05,0.00016909586940400562
A_359a23d0bd,318.5034363037258,1.9186953994200349,4.44849628663518,166,-27.276695801812497,28.11714499849258,0.00010430998639928501,6.339033103425647e-05
A_8860be39b3,253.35427631968363,21.112856359973637,84.84096696353188,12,-106.55528109735702,175.8173896235079,1.566245913609167e-05,0.00016152529086938772
A_e7205c325a,238.25624422119358,3.452989046683965,8.876887543845251,69,-5.767317513991238,47.542993168483335,4.543852289072438e-05,4.423095134655824e-05
A_522c68dd44,184.13992678854456,0.12832050647285334,0.5120890671151992,1435,-3.7322712,3.1024900275392953,-0.00011750312254262618,0.0007047179400674978
A_b2bc71e131,114.11612469790806,0.28387095695997033,2.236758516787093,402,-0.3677132128153774,39.34791847484898,-0.00015544477381508433,0.0015988865104622758
A_dcd87c6c96,98.26760404580241,1.6942690352724554,3.8982124940687712,58,-10.07677297647854,10.794924789368777,4.889136334670276e-05,3.553095244294237e-05
A_60a63690ae,56.37729469086226,0.07064823896098027,0.11219555527832732,798,-0.2602845389358508,0.5343882687582204,1.2991828173648749e-05,0.0005882277512101494
A_1b6957bd93,47.70482861206378,0.13141826063929415,0.6852554175297674,363,-0.2673586443927814,7.93612555231788,-0.0014822135823770778,0.004159903279439553
A_40cfe40ac2,24.520954400142646,0.009420266769167364,0.07921234349676115,2603,-1.988587478176492,1.7555118528510252,1.4233453395482361e-05,0.0002513906924831336
A_48fbd03d61,23.695748475097364,0.39492914125162276,2.9390494586067413,60,-4.626237989420093,15.671335841712258,7.499950808249667e-05,0.00012141376655459851
A_507a86d368,22.441473796760594,0.04617587200979546,24.320925386351124,486,-394.75728464900664,304.20938678497845,-6.572465754662016e-05,0.001358768483892506
A_c668740478,19.49925742489969,0.3482010254446373,1.970420612354365,56,-5.053544607278755,6.970630356259933,6.417395093394458e-05,5.792625634916844e-05
A_7ba723a337,9.998237464185012,0.24995593660462528,3.9105061503039336,40,-7.082535272150416,15.909554651823605,-0.002057516512522715,0.004530896067406941
A_9a5e1e7fac,7.8948496041736,0.052632330694490664,0.14528889905039316,150,-0.1890923336169281,0.9019787864442362,-0.001843449759704938,0.0032518125677735957
A_3943c4c480,7.707716048577946,0.0015823683121695639,0.005392530875724523,4871,-0.0499650363500662,0.129906610193379,4.741190156733356e-05,5.0025951155922134e-05
A_9366ce5043,6.638400633990854,0.004353049596059577,0.018511627645519498,1525,-0.1943541288731082,0.1524908997055779,-0.0004667264088762581,0.0022243052959755884
A_59b90616d6,5.5425344007598545,0.03930875461531812,0.29043037265983873,141,-0.5727656406716635,2.4517613602215835,-3.364945560991804e-05,0.00032449815507217157
A_ace0a74506,4.31029865599866,0.01690313198430847,0.05748913399660959,255,-0.3395160479388311,0.185260476301994,2.0013781791152543e-05,6.557531612441692e-05
A_6960c2ee08,1.9550177687886705,0.014375130652857872,0.48451849859477875,136,-1.027484943742684,0.9999167178670199,5.992320532008603e-05,3.6603009799899995e-05
A_2ba62f7b20,1.8088332718439046,0.0066015812841018415,0.11610935450062605,274,-0.5827365881659389,1.0143043545420227,6.394687476824717e-05,7.478543496902347e-05
A_ebdb869fd3,0.8053608325876094,0.00021591443232911778,0.0046121154521618765,3730,-0.145475163428906,0.2002858,2.7671379979529137e-05,0.00046546110230264684
A_4943ad62b4,0.6403240602909005,0.014891257216067454,0.15306132590067048,43,-0.4975890880724503,0.5067403002621192,6.4667005760139555e-06,0.00012165219633421331
A_27fd29fd55,0.45206694702378497,0.07534449117063083,0.23136863551755738,6,-0.1237113016409544,0.5336428660772329,-1.99070689529e-05,6.0147388740103095e-05
A_c91db6cabf,0.2543541875,0.2543541875,,1,0.2543541875,0.2543541875,5e-05,
A_5cd5d675fd,0.18022937848966908,0.0016534805366024685,0.015268063167663187,109,-0.0788724814015094,0.0607508810829197,4.8928838184309174e-05,6.011860163664627e-05
A_3cab2969e5,0.11076455679976549,0.015823508114252212,0.023450375296844055,7,-7.05406703512e-05,0.056463596826718,6.490376641482857e-05,5.795349929427421e-05
A_e27beda014,0.10686554801140591,0.026716387002851477,0.1095762856805161,4,-0.12997879796,0.1118344372598023,1.6198125886125003e-05,6.651384264884753e-05
A_853f70d58b,0.05552682125593399,0.0021356469713820765,0.047862338621544265,26,-0.1089225,0.1037357636278688,8.668423547757692e-06,6.380960505363549e-05
A_94cf7bdada,0.0087094348395916,0.0021773587098979,0.029945920512443696,4,-0.0422742795956643,0.0200609337756575,0.0001785442542516,4.680744774309414e-05
A_3cfd9478f0,0.0036629802423685034,3.7377349411923506e-05,0.00651642654333638,98,-0.0100468756877725,0.0604200180188095,5.925637181066429e-05,9.953616181835627e-05
A_78e950c1a2,-0.09980485693010928,-0.0026974285656786294,0.028199069056878193,37,-0.1648122480646539,0.0102719760339681,6.543816452834449e-05,5.016988719278008e-05
A_3b4f58349f,-0.140542891214441,-0.011711907601203416,0.07466784668475894,12,-0.1089225,0.1037357636278688,9.048295623141667e-06,7.244153886923331e-05
A_55021b4ae2,-0.22084534283273982,-0.010516444896797135,0.05593595564814597,21,-0.2544675,0.0048218867872565,3.277818320539543e-05,4.097763685262486e-05
A_946b028740,-0.2297306861232133,-0.006756784885976861,0.043659174028812225,34,-0.2528913385035821,0.0133389096546005,-6.95172093186706e-05,0.0007254663398325263
A_68f6513965,-1.9448457576999145,-0.019448457576999145,0.09057846455322581,100,-0.2087571908649815,0.1919657090617987,0.000118837332510356,6.301970721614398e-05
A_dae7cf0dd9,-3.936241855125538,-0.051120024092539455,0.05689579802325476,77,-0.2695040654588963,0.1263409355041503,0.00015879985383222988,5.184752935801723e-05
A_ef035876f1,-5.036373684787258,-0.04232246793938872,0.12462612814207474,119,-0.8246754726490066,0.0671831674977047,-0.0024483828143561535,0.005045798265111931
A_9788666227,-10.86283030056528,-0.1697317234463325,4.3285064187098135,64,-21.809444605609,8.0467941162,4.823654564771875e-05,0.00017616349641069268
A_1a7c006b71,-11.28450475500361,-0.13433934232147154,0.5154922135887358,84,-3.2240458088707222,0.3541511761768709,0.00012748655109600358,0.00013302011080466514
A_e8e9d04acc,-15.908816846473657,-0.7231280384760753,1.1431212732337768,22,-1.5302084497034232,1.241652038298988,0.00016622873133419547,4.410936015877889e-05
A_64a414bc30,-25.452137540320997,-0.1857820258417591,0.18394709392301326,137,-0.8800403687888836,0.3148837571148923,0.000133867497567708,5.1768146870013773e-05
A_06d5bd3da9,-53.88340165620804,-0.023437756266293186,0.43242835364740406,2299,-7.3707266880182045,5.354530302304683,-0.00029262849948913724,0.0016295006868375214
A_0ad0445c5a,-239.61799465457943,-9.984083110607477,26.8712279972664,24,-96.04190278064515,1.3675495790269043,0.0012983946434689875,0.00559602157311569
A_4081f88bb0,-731.2672682557472,-1.2127152044042242,15.743634078269187,603,-103.484151,138.7800304472931,-4.19307628347755e-05,0.0010460030257510972
A_d444580218,-5923.192704922875,-31.174698446962502,91.67148128188184,190,-592.9931502,249.60842448821677,-0.001954600749633868,0.00449278004478161
A_f96ede8d34,-9649.186412726396,-5.934308986916603,42.06254690883937,1626,-596.4303444,249.40836776972432,-0.0004015594771707152,0.0020777107173359332
A_cf3fcea289,-9789.086964719698,-1.795174576328571,40.80977124815316,5453,-747.0896094024669,487.454395143063,-0.0003820068031144734,0.002269033312834995
A_cab220ef3c,-16488.415770611624,-3.0500214152074774,95.1590392223491,5406,-1431.7447110993376,1292.8045290189375,-0.0003089859802255304,0.0015787882193126193
A_2db64f326b,-21989.199131351863,-67.65907425031342,176.01632945047538,325,-961.1721628940741,65.59104826719101,-0.00011635256092141478,0.0008021106991555077
