account_id,funding_fee_abs,mean_holding_minutes,funding_timing_ratio,funding_profit_ratio,ip_shared_count,mean_leverage,total_reward,shared_ip_bonus
A_c668740478,1.2830812140060348,58.83853517199873,0.26871055004508565,0.10841833385505704,1,48.61512027491409,40.0,1.0
A_7e27164ab6,21.100638546035807,1611.6527370118608,0.22896440129449838,0.0659171147641681,1,8.332339791356185,177.79001880157895,1.0
A_4081f88bb0,5.944400689432889,441.8922919696281,0.22830336200156373,0.003467094920439734,2,37.311053984575835,40.398781979999995,2.0
A_0bfb0b4311,1.438068213327483,601.5890545921958,0.2612081170363379,0.15704164578252813,2,15.32198712051518,10.0,1.0
A_e27beda014,0.09170578598285148,19.79067424601064,0.24335106382978725,0.00032735878537331877,2,20.40691489361702,13.9435062,2.0
A_e8e9d04acc,1.2878498573338786,14.807740033584906,0.3870056497175141,0.01603565805425479,1,31.178571428571427,17.4480334,1.0
A_f2ab53d645,16.89919059916467,107.3007686708076,0.21477428180574556,0.0431203914504534,1,3.397391901166781,208.98880080333333,1.0
A_cab220ef3c,33.5566272968938,3012.0902602322935,0.5254237288135594,0.0005132693112010397,1,5.459293394777266,1773.536295645769,1.0
A_2ba62f7b20,0.058714722196547456,248.08498158547718,0.23431734317343172,0.012487354747237955,1,24.329457364341085,26.251895904999998,1.0
A_40cfe40ac2,0.029915996102233562,3306.6983300050847,0.26374859708193044,0.023412025727473675,1,2.975806451612903,2.981442,1.0
A_26ffea8fd9,6.040131299741508,1755.401665375055,0.27702702702702703,0.04692876964342904,2,7.899099099099099,243.54482001104577,2.0
A_522c68dd44,0.28361379859754265,388.2250378882576,0.2935026138909634,0.0646830613711481,1,8.304084720121029,2.97593,1.0
A_3cfd9478f0,0.0014210019823661377,291.32357238026316,0.29337539432176657,0.0010223323645174728,1,73.33552631578948,0.0,1.0
A_ebdb869fd3,0.0007831893746490546,2065.155063986408,0.21642429426860565,0.08939457965959874,2,25.835616438356166,159.991358,1.0
A_4943ad62b4,0.07813247567921716,29.099476679867987,0.22376237623762377,0.002974632443672044,2,16.487128712871286,37.42156931674209,2.0
A_3943c4c480,0.002502850854723877,722.6913748206598,0.3055105348460292,0.05370698242657014,1,19.29897463572585,10.0,1.0
A_0e72128b0d,29.278489786922506,2711.863881170799,0.28296703296703296,0.5700521575958183,1,4.818565400843882,63.557894133126936,1.0
A_55021b4ae2,0.014236080378043409,27.68242732631579,0.2894736842105263,0.0005724097246609664,1,11.578947368421053,534.89877,1.0
A_c91db6cabf,0.2543541875,23.18904799347826,0.2826086956521739,0.0008758678088159059,1,11.08695652173913,534.9120995000001,1.0
A_33849d660b,1.3132663324305451,2341.830961946569,0.3150684931506849,0.05647533897828941,1,10.511029411764707,60.85790241686868,1.0
A_b2bc71e131,0.3006169494866701,573.4428575310898,0.2966507177033493,0.09037400305328243,1,1.4615384615384615,66.53475116666667,1.0
A_c462ca9c6b,2.1233561734238,697.3914658917114,0.2556390977443609,0.0925404967192211,2,10.749731471535982,95.71786964226135,2.0
A_dcd87c6c96,2.2942161777946275,137.67959262698412,0.2066115702479339,5.4941669954578076e-05,1,99.33557046979865,584.82338025,1.0
A_e7205c325a,3.860496940139338,193.5614362121399,0.23376623376623376,0.00016762387713353412,1,100.0,584.7787135833333,1.0
A_78e950c1a2,0.00955468958299512,9.736314781454006,0.23738872403560832,0.0007330349639521378,1,61.67359050445104,21.55457236153846,1.0
A_60a63690ae,0.07507041748008964,493.3082443917056,0.24601063829787234,0.1827217474917315,1,20.824468085106382,0.0,1.0
A_59b90616d6,0.11129598300894465,39.68797632137042,0.260498687664042,0.009630925253367546,1,81.77320954907162,35.45448905644916,1.0
A_9366ce5043,0.007794187926434219,1496.4697914114388,0.24666666666666667,0.13729306813662553,1,16.589333333333332,0.0,1.0
A_ae270b7bf6,1.0133686620848241,2907.8926156073207,0.26550270921131847,0.11519013457712601,1,3.848101265822785,163.50942650000002,1.0
A_cf3fcea289,12.080511039773986,7195.2848831032425,0.5283286118980169,0.20195354804941656,1,2.2551546391752577,149.99880258,1.0
A_ace0a74506,0.04279763051751149,229.07635851029963,0.1947565543071161,0.0015446984807184064,1,2.432584269662921,86.98177066666668,1.0
A_68f6513965,0.0787759100414822,151.04749558985293,0.20494186046511628,0.0025654472963806854,1,18.752906976744185,30.991118571428572,1.0
A_1a7c006b71,0.2496483565875706,227.3651384160985,0.18820224719101122,0.004776403336337214,1,31.44632768361582,17.497396000000002,1.0
A_89cf7b96c2,2.0933986535918283,851.633110419922,0.24088541666666666,0.9320340385332173,1,1.0,66.0,1.0
A_1b6957bd93,0.14678852200666315,344.42570374629634,0.3544973544973545,0.01729219029244827,1,6.567073170731708,14.1101742,1.0
A_507a86d368,2.580878101908312,225.4479330736257,0.24541484716157205,0.001592553050253435,1,3.5807017543859647,10.0,1.0
A_48fbd03d61,1.0328054134373388,393.1024633135417,0.3235294117647059,0.45825598954665997,2,1.475,106.0,2.0
A_9788666227,2.782536251210292,33.828874411371764,0.24066666666666667,0.001129718862943257,1,22.612732095490717,10.0,1.0
A_359a23d0bd,2.8427450074923484,982.5609082266203,0.21153846153846154,0.1581437448255367,1,11.88888888888889,86.0,1.0
A_853f70d58b,0.03245643625777632,78.08431161238427,0.4756944444444444,8.126088190457034e-05,1,85.58333333333333,106.0,1.0
A_6960c2ee08,0.4099887015601724,169.73112886364797,0.2066326530612245,0.005973086693405817,1,13.270408163265307,10.0,1.0
A_9a5e1e7fac,0.07226173909359886,37.34272484550525,0.29252704031465093,0.622971642356698,2,45.636811023622045,0.0,1.0
A_64a414bc30,0.2317802914749981,165.83798113049068,0.23337222870478413,0.019282811279521556,1,20.515151515151516,10.0,1.0
A_3b4f58349f,0.05927023485398966,66.85680418901515,0.36363636363636365,0.001718413687776144,1,1.6136363636363635,30.0,1.0
A_5cd5d675fd,0.007571319084819982,90.2676337088694,0.2573099415204678,0.0014168885927549634,1,18.017543859649123,12.2569515,1.0
A_ef035876f1,0.04783906968897383,73.32297443344828,0.2512908777969019,0.6415786860225001,1,29.02758620689655,0.0,1.0
A_27fd29fd55,0.1213600759624759,53.02829444710145,0.3090909090909091,0.0025680983559751374,1,63.737864077669904,10.0,1.0
A_3cab2969e5,0.015863817068738614,9.559071414268868,0.2566168009205984,0.00508948170873818,1,34.32808988764045,0.0,1.0
A_946b028740,0.010142979067841349,175.55751314140625,0.21705426356589147,0.04737124732877853,2,17.307692307692307,0.0,1.0
A_dae7cf0dd9,0.06227003689687877,454.00665631055557,0.15463917525773196,0.036451207217458266,1,9.911764705882353,0.0,1.0
A_06d5bd3da9,0.04703877765669831,193.03521844371795,0.26627218934911245,0.009883106217454956,1,39.97572815533981,10.0,1.0
A_6b3a8b213d,0.0,0.8186012018518518,0.6216216216216216,0.0,3,14.38888888888889,0.0,1.0
A_e95b2c5030,0.0,0.4788890552380953,0.22857142857142856,0.0,3,62.82857142857143,0.0,1.0
A_1f97e16953,81.79935485961798,23.47124976493055,0.39195979899497485,0.04249090998417598,3,20.494949494949495,0.0,1.0
A_7620582c70,0.0,0.030644326543209876,0.41975308641975306,0.0,1,5.0,20.0,1.0
A_7ba723a337,1.4611629182670447,59.41555038207547,0.13157894736842105,0.04097067075376514,1,25.75409836065574,0.0,1.0
A_94cf7bdada,0.02331449850773005,103.51658403247863,0.15384615384615385,0.0006444651228832137,1,18.205128205128204,0.0,1.0
A_8413984c30,87.7069039398544,85.04738612083332,0.20175438596491227,0.039559039482216354,2,10.426470588235293,0.0,1.0
A_8860be39b3,63.935834969537744,83.57682780352113,0.18410041841004185,0.012202223575158886,2,9.295774647887324,10.0,1.0
A_0ad0445c5a,10.435573368378705,22.68570569133987,0.25980392156862747,0.2693277276020814,1,8.176470588235293,9.99693998,1.0
A_2db64f326b,73.31082899819842,469.9646166408014,0.40716612377850164,0.42603814232484777,1,4.970059880239521,263.123581851044,1.0
A_f96ede8d34,8.520530660624065,193.28628350928383,0.7630922693266833,0.3761298202979814,2,13.581395348837209,796.0282943435294,2.0
A_d444580218,47.96629570241461,6.961226379281346,0.8727272727272727,0.36439644756236955,2,13.945701357466064,336.89586676478524,2.0
